name,place,district,type of transport,lines,longitude,latitude
Backnang,Backnang,Backnang,Bus;Ruftaxi;Nachtbus;S-Bahn;R-Bahn,"S3,S4,R3,335,360,361,362,363,364,365,366,367,367A,368,369,370,380,381,382,383,384,385,390,393,455,467,488,N30,RT361,RT363,RT381,RT390,RT35",9.426136644,48.94269271
Maubach,Backnang,Maubach,Bus;R-Bahn;Ruftaxi;S-Bahn,"S3,R3,361,RT361,RT35",9.419758623,48.92607165
Korntal,Korntal-Münchingen,Korntal,Bus;S-Bahn;R-Bahn,"S6,S60,R61,90,612",9.1211538,48.8264832
Waiblingen,Waiblingen,Waiblingen,Bus;R-Bahn;Ruftaxi;Expressbus;Nachtbus;S-Bahn,"S2,S3,R2,R3,201,202,204,205,206,207,208,209,210,211,212,213,216,218,263,335,431,432,N31,X20,RT201,RT209,RT211",9.300449905,48.8262893
Winnenden,Winnenden,Winnenden,Ruftaxi;Bus;S-Bahn;R-Bahn,"S3,R3,210,310,331,332,334,335,336,337,340,456,RT334,RT30,RT31",9.392210743,48.87959815
Rommelshausen,Kernen i. R.,Rommelshausen,S-Bahn;R-Bahn;Nachtbus;Ruftaxi;Bus,"S2,R2,211,N31,RT211",9.319175884,48.81552004
Schorndorf,Schorndorf,Schorndorf,S-Bahn;R-Bahn;Bus;Ruftaxi,"S2,R2,R21,106,149,217a,228,229,230,242,243,244,245,246,247,248,249,260,261,262,263,265,RT260,RT262",9.525647293,48.80711887
Endersbach,Weinstadt,Endersbach,Bus;Ruftaxi;S-Bahn;R-Bahn,"S2,R2,116,201,202,204,206,209,263,RT202,RT206,RT209",9.370029236,48.8132006
Esslingen (N),Esslingen (N),Esslingen (N),R-Bahn;S-Bahn,"S1,S11,R1,R8",9.300564768,48.73857736
Plochingen,Plochingen,Plochingen,R-Bahn;Ruftaxi;Bus;S-Bahn,"S1,S11,R1,R8,R73,140,141,142,143,144,149,261,262,RT142,RT143,RT144,RT149,RT262",9.410520417,48.71298665
